TOMO 03 — BESTIARIO, NPC Y COMPAÑEROS

Fuente operativa de enemigos, criaturas, NPC, compañeros y amenazas.

Edición 5.1 — Versión refinada para lectura de libro

Nota editorial: esta versión conserva la información útil de las iteraciones anteriores, unifica fichas heredadas bajo IDs maestros y retira del cuerpo principal títulos técnicos repetidos, separadores visuales y marcas internas de trabajo. Las fuentes, alias y notas de trazabilidad no se pierden: se conservan en apéndice cuando corresponde.
## Balance final de amenazas

### Prueba matemática de mesa
Antes de cambiar una ficha, probarla contra tres armas de su etapa: una débil, una estándar y una fuerte. Si la amenaza muere antes o después de la duración ideal, marcar la ficha para balance en vez de corregirla de forma destructiva.

| Resultado de prueba | Acción editorial |
|---|---|
| muere demasiado rápido | revisar PV, defensa, cantidad o cobertura |
| dura demasiado | revisar PV, DR/ER/RR, debilidad o daño mínimo |
| no amenaza al grupo | revisar daño, táctica o número |
| elimina al grupo sin margen | revisar daño, AP, cantidad o telegráfico narrativo |

### Escalado por jugadores
1 jugador usa el mínimo de enemigos. 2 jugadores usan cantidad base. 3 jugadores agregan menores o cobertura. 4 jugadores agregan oleadas, líder o presión de objetivo. No duplicar jefes salvo escena final.

TOMO 03 — BESTIARIO: BALANCE Y ESCALADO DE COMBATE

1. DURACION ESPERADA POR AMENAZA
| Amenaza | Rol | Duracion ideal |
|---:|---|---|
| 1-2 | plaga, fauna menor, enemigo ambiental | 1-2 turnos |
| 3-4 | saqueador, robot basico, criatura comun | 2-3 turnos |
| 5-6 | enemigo tactico, supermutante, synth fuerte | 3-5 turnos |
| 7-8 | elite, jefe menor, criatura apex local | 5-7 turnos |
| 9-10 | jefe de escena o amenaza final | escena completa |

2. LECTURA DE AP EN ENEMIGOS
AP en fichas de enemigo significa Puntos de Accion tacticos del enemigo. Si una mesa quiere simplificar:
- AP bajo: 1 accion + movimiento corto.
- AP medio: 1 accion + movimiento normal + reaccion simple.
- AP alto: 2 acciones o accion fuerte + movimiento.

3. ESCALADO POR NUMERO DE JUGADORES
- No duplicar elites automaticamente.
- Primero aumentar enemigos menores.
- Segundo agregar cobertura, alarma o refuerzo.
- Tercero mejorar posicion tactica.
- Solo aumentar PV si la escena debe ser jefe o amenaza final.

4. MARCAS DE BALANCE
Si una ficha no cumple duracion esperada, no se modifica de inmediato. Se marca:
REQUIERE_BALANCE_PV, REQUIERE_BALANCE_DANO, REQUIERE_BALANCE_DEFENSA o REQUIERE_BALANCE_AMENAZA.


Resultado de auditoría:
- No se modifican PV, AP, DR, ER, RR, daño ni amenaza existentes.
- Cualquier cambio numérico futuro debe pasar por prueba de 3 rondas: inicio, medio y alto.
- Enemigos con PV alto y amenaza baja quedan marcados para revisión contextual: pueden ser pasivos, ambientales o resistentes pero poco letales.
- Enemigos con daño alto y AP alto deben revisarse contra armaduras del Tomo 05 para evitar muerte súbita.
- Regla de seguridad: ningún enemigo normal debería requerir más de 6-8 impactos medios salvo jefe, criatura apex, servoarmadura, robot pesado o escena final.
- Información eliminada: 0.

Criterio aplicado:
- No se cambian valores de PV, AP, daño, DR, ER ni RR en fichas existentes.
- La simulación se agrega como capa de auditoría para decidir ajustes posteriores sin destruir datos.
- AP sigue significando Puntos de Acción.
- Fórmula provisional de test: mitigación por tramo de defensa + daño mínimo táctico. No reemplaza Tomo 01; sirve para detectar bloqueos.

### Distribución real detectada en los tomos
| Métrica | Muestras | P10 | P25 | P50 | P75 | P90 |
|---|---:|---:|---:|---:|---:|---:|
| PV enemigos Tomo 03 | 213 | 85.0 | 210.0 | 500.0 | 1000.0 | 1800.0 |
| DR enemigos Tomo 03 | 213 | 15.0 | 45.0 | 95.0 | 180.0 | 260.0 |
| ER enemigos Tomo 03 | 213 | 5.0 | 35.0 | 80.0 | 140.0 | 208.0 |
| Amenaza enemigos Tomo 03 | 213 | 1.1 | 1.5 | 2.2 | 3.1 | 4.2 |
| Daño base armas Tomo 04 | 106 | 22.0 | 28.0 | 45.0 | 55.0 | 150.0 |
| Coste AP armas Tomo 04 | 99 | 20.0 | 25.0 | 28.0 | 35.0 | 42.0 |
| DR armaduras Tomo 05 | 293 | 0.0 | 5.0 | 35.0 | 35.0 | 35.0 |
| ER armaduras Tomo 05 | 293 | 0.0 | 5.0 | 35.0 | 35.0 | 35.0 |

### Fórmula de test usada en esta simulación
- Defensa 0–25: reduce 0 daño.
- Defensa 26–75: reduce 5 daño.
- Defensa 76–150: reduce 10 daño.
- Defensa 151–250: reduce 20 daño.
- Defensa 251–400: reduce 35 daño.
- Defensa 401+: reduce 50 daño.
- Si el arma puede afectar al objetivo pero el cálculo baja a 0, usar daño mínimo táctico: máximo entre 1 y 10% del daño base.
- Rondas de referencia: se calcula con presupuesto abstracto de 100 AP tácticos para comparar armas; no sustituye la economía oficial del Tomo 01.

### Resultado de simulación representativa
| Arma | Enemigo | Amenaza | PV | DR/ER | Daño efectivo | Impactos | Rondas ref. | Estado |
|---|---|---:|---:|---:|---:|---:|---:|---|
| Pipe pistol | B-137 Cat | 1.1 | 10 | 0/0 | 16.0 | 1 | 1 | OK |
| Pipe pistol | B-092 Raider | 1.0 | 70 | 10/5 | 16.0 | 5 | 1 | OK |
| Pipe pistol | B-001 Feral Ghoul | 1.5 | 45 | 5/0 | 16.0 | 3 | 1 | OK |
| Pipe pistol | B-004 Withered Feral Ghoul | 2.1 | 220 | 45/25 | 11.0 | 20 | 4 | LARGO |
| Pipe pistol | B-150 Synth eradicator | 4.0 | 1000 | 180/240 | 1.6 | 625 | 125 | OK |
| Pipe pistol | B-181 Gunner con servoarmadura | 4.2 | 900 | 220/180 | 1.6 | 563 | 113 | OK |
| Pipe pistol | B-132 Legendary Deathclaw | 7.0 | 2800 | 350/260 | 1.6 | 1750 | 350 | OK |
| Pipe pistol | B-068 Ancient Behemoth | 5.8 | 4200 | 320/160 | 1.6 | 2625 | 525 | OK |
| Pipe pistol | B-022 Red Widow Bloodbug | 1.6 | 180 | 35/20 | 11.0 | 17 | 4 | OK |
| Pipe pistol | B-154 F6-33 | 2.5 | 500 | 90/130 | 6.0 | 84 | 17 | LARGO |
| 10mm Pistol | B-137 Cat | 1.1 | 10 | 0/0 | 18.0 | 1 | 1 | OK |
| 10mm Pistol | B-092 Raider | 1.0 | 70 | 10/5 | 18.0 | 4 | 1 | OK |
| 10mm Pistol | B-001 Feral Ghoul | 1.5 | 45 | 5/0 | 18.0 | 3 | 1 | OK |
| 10mm Pistol | B-004 Withered Feral Ghoul | 2.1 | 220 | 45/25 | 13.0 | 17 | 4 | OK |
| 10mm Pistol | B-150 Synth eradicator | 4.0 | 1000 | 180/240 | 1.8 | 556 | 112 | OK |
| 10mm Pistol | B-181 Gunner con servoarmadura | 4.2 | 900 | 220/180 | 1.8 | 500 | 100 | OK |
| 10mm Pistol | B-132 Legendary Deathclaw | 7.0 | 2800 | 350/260 | 1.8 | 1556 | 312 | OK |
| 10mm Pistol | B-068 Ancient Behemoth | 5.8 | 4200 | 320/160 | 1.8 | 2334 | 467 | OK |
| 10mm Pistol | B-022 Red Widow Bloodbug | 1.6 | 180 | 35/20 | 13.0 | 14 | 3 | OK |
| 10mm Pistol | B-154 F6-33 | 2.5 | 500 | 90/130 | 8.0 | 63 | 13 | LARGO |
| Combat Rifle | B-137 Cat | 1.1 | 10 | 0/0 | 33.0 | 1 | 1 | OK |
| Combat Rifle | B-092 Raider | 1.0 | 70 | 10/5 | 33.0 | 3 | 1 | OK |
| Combat Rifle | B-001 Feral Ghoul | 1.5 | 45 | 5/0 | 33.0 | 2 | 1 | OK |
| Combat Rifle | B-004 Withered Feral Ghoul | 2.1 | 220 | 45/25 | 28.0 | 8 | 2 | OK |
| Combat Rifle | B-150 Synth eradicator | 4.0 | 1000 | 180/240 | 13.0 | 77 | 20 | OK |
| Combat Rifle | B-181 Gunner con servoarmadura | 4.2 | 900 | 220/180 | 13.0 | 70 | 18 | OK |
| Combat Rifle | B-132 Legendary Deathclaw | 7.0 | 2800 | 350/260 | 3.3 | 849 | 213 | OK |
| Combat Rifle | B-068 Ancient Behemoth | 5.8 | 4200 | 320/160 | 3.3 | 1273 | 319 | OK |
| Combat Rifle | B-022 Red Widow Bloodbug | 1.6 | 180 | 35/20 | 28.0 | 7 | 2 | OK |
| Combat Rifle | B-154 F6-33 | 2.5 | 500 | 90/130 | 23.0 | 22 | 6 | LARGO |
| Combat shotgun | B-137 Cat | 1.1 | 10 | 0/0 | 55.0 | 1 | 1 | OK |
| Combat shotgun | B-092 Raider | 1.0 | 70 | 10/5 | 55.0 | 2 | 1 | OK |
| Combat shotgun | B-001 Feral Ghoul | 1.5 | 45 | 5/0 | 55.0 | 1 | 1 | OK |
| Combat shotgun | B-004 Withered Feral Ghoul | 2.1 | 220 | 45/25 | 50.0 | 5 | 3 | OK |
| Combat shotgun | B-150 Synth eradicator | 4.0 | 1000 | 180/240 | 35.0 | 29 | 15 | OK |
| Combat shotgun | B-181 Gunner con servoarmadura | 4.2 | 900 | 220/180 | 35.0 | 26 | 13 | OK |
| Combat shotgun | B-132 Legendary Deathclaw | 7.0 | 2800 | 350/260 | 20.0 | 140 | 70 | OK |
| Combat shotgun | B-068 Ancient Behemoth | 5.8 | 4200 | 320/160 | 20.0 | 210 | 105 | OK |
| Combat shotgun | B-022 Red Widow Bloodbug | 1.6 | 180 | 35/20 | 50.0 | 4 | 2 | OK |
| Combat shotgun | B-154 F6-33 | 2.5 | 500 | 90/130 | 45.0 | 12 | 6 | OK |
| Láser Rifle | B-137 Cat | 1.1 | 10 | 0/0 | 24.0 | 1 | 1 | OK |
| Láser Rifle | B-092 Raider | 1.0 | 70 | 10/5 | 24.0 | 3 | 1 | OK |
| Láser Rifle | B-001 Feral Ghoul | 1.5 | 45 | 5/0 | 24.0 | 2 | 1 | OK |
