TOMO 09 — COLECCIONABLES

Cabezones, revistas, holocintas, notas, llaves, terminales y objetos únicos.

Edición 5.1 — Versión refinada para lectura de libro

Nota editorial: esta versión conserva la información útil de las iteraciones anteriores, unifica fichas heredadas bajo IDs maestros y retira del cuerpo principal títulos técnicos repetidos, separadores visuales y marcas internas de trabajo. Las fuentes, alias y notas de trazabilidad no se pierden: se conservan en apéndice cuando corresponde.
## Validación final de coleccionables

Los coleccionables se publican con tres estados posibles: validado, operativo de mesa o pendiente de validación fina. No se inventan nombres oficiales cuando no estén confirmados.

| Estado | Uso en libro |
|---|---|
| Validado | aparece como ficha canónica completa |
| Operativo de mesa | puede usarse como pista, llave, nota o terminal sin nombre oficial |
| Pendiente | se conserva para revisión, no se elimina |

### Uso jugable
Un coleccionable debe indicar al menos: ID COL, tipo, ubicación U, subzona o punto físico, uso, riesgo, recompensa y cruce con misión/facción si aplica.

TOMO 09 — COLECCIONABLES: USO JUGABLE Y PISTAS

1. TIPO DE USO JUGABLE
Cada COL debe clasificarse como minimo en uno de estos usos:
- Bonus: entrega efecto mecanico.
- Pista: abre informacion o ruta.
- Lore: aporta contexto sin efecto directo.
- Mision: requerido para avanzar o cerrar objetivo.
- Llave/Acceso: abre puerta, terminal, caja, ruta o subzona.
- Recompensa: objeto unico, revista, cabezon, holocinta o documento valioso.

2. CUANDO UN COLECCIONABLE NO TIENE NOMBRE OFICIAL VALIDADO
No inventar nombre canonico. Usar:
COL-xxxx — Registro operativo de mesa
Nombre oficial: REQUIERE_VALIDACION
Ubicacion: U-xxxx si existe
Subzona: segun Tomo 06
Uso: pista/lore/mision/llave/recompensa

3. TERMINALES, NOTAS Y HOLOCINTAS EN MISIONES
Si una mision pide un registro, usar Tomo 09 como fuente de ID. Si no existe ficha, crear alias pendiente en vez de usar ID de bestiario, arma o ubicacion.


Criterio aplicado:
- No se elimina ninguna ficha COL previa; este bloque añade una capa operativa para los pendientes detectados en I4.6.
- Tomo 01 y Tomo 10 permanecen intactos y fuera de esta entrega.
- Las entradas de esta sección se derivan del mapa táctico textual del Tomo 06: ubicación U, subzona, terminal/objeto, AP e interacción.
- Cuando el Atlas dice 'holocinta/nota/entrada posible', el nombre es operativo y no canónico; no se inventa un nombre oficial de lore.
- Si más adelante se valida el nombre oficial de una holocinta, nota, llave o terminal, se reemplaza el nombre operativo conservando el ID COL como alias.
- AP significa siempre Puntos de Acción.

### Tabla operativa I4.7
| ID | Tipo operativo | Nombre operativo / estado | Ubicación Tomo 06 | ID U | Subzona exacta | Soporte / interacción | AP recomendado | Estado |
|---|---|---|---|---|---|---|---|---|
| COL-0188 | Terminal + Holocinta/Nota/Entrada | Registro local de Vault 111 — Oficina de seguridad | Vault 111 | U-0001 | Oficina de seguridad | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0189 | Terminal | Registro local de Vault 111 — Sala del Pip-Boy | Vault 111 | U-0001 | Sala del Pip-Boy | Terminal: Si; Alijo: No; Contenedor: Si; Objeto especial: Pip-Boy / terminal de salida; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS |
| COL-0190 | Terminal + Holocinta/Nota/Entrada | Registro local de Red Rocket truck stop — Oficina / mostrador | Red Rocket truck stop | U-0003 | Oficina / mostrador | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0191 | Terminal + Holocinta/Nota/Entrada | Registro local de Robotics disposal ground — Recepcion u oficina | Robotics disposal ground | U-0004 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0192 | Terminal + Holocinta/Nota/Entrada | Registro local de Robotics disposal ground — Laboratorio o zona tecnica | Robotics disposal ground | U-0004 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0193 | Terminal + Holocinta/Nota/Entrada | Registro local de Thicket Excavations — Recepcion u oficina | Thicket Excavations | U-0005 | Recepcion u oficina | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0194 | Terminal + Holocinta/Nota/Entrada | Registro local de Thicket Excavations — Laboratorio o zona tecnica | Thicket Excavations | U-0005 | Laboratorio o zona tecnica | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0195 | Terminal + Holocinta/Nota/Entrada | Registro local de USAF Satellite Station Olivia — Vestibulo o control de acceso | USAF Satellite Station Olivia | U-0006 | Vestibulo o control de acceso | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP entre elementos conectados; +1 AP por escombros, sigilo o sobrecarga | OPERATIVO_ATLAS_NO_CANONICO |
| COL-0196 | Terminal + Holocinta/Nota/Entrada | Registro local de USAF Satellite Station Olivia — Sala tecnica / generadores | USAF Satellite Station Olivia | U-0006 | Sala tecnica / generadores | Terminal: Si/posible; Alijo: No; Contenedor: Si; Objeto especial: holocinta/nota/entrada posible; Recurso: No; POI: Si | 1 AP si esta conectado; +1 AP para registrar/interactuar | OPERATIVO_ATLAS_NO_CANONICO |
